dataset_name,oracle_param_oracle_name,oracle_param_number_of_epochs_for_training_feature_extractor,oracle_param_number_of_hidden_layers_for_classifier,oracle_param_number_of_neurons_in_layer_for_classifier,oracle_param_number_of_epochs_for_training_classifier,wtst_param_number_of_accepted_failed_attempts,wtst_param_epoch_unit,gan_param_number_of_generated_samples_perclass,maj_class_count,min_maj_rate,maj_f1,min_f1,stopping_epoch,fold
tor,fixed,-1,-1,-1,-1,15,100,500,500,0.2,0.959183673,0.818181818,1500,4
tor,cas,-1,2,20,20,15,100,500,500,0.2,0.932642487,0.723404255,1500,5
tor,fcn,-1,2,100,100,15,100,500,500,0.2,0.965174129,0.820512821,1500,5
tor,mis,-1,2,100,100,15,100,500,500,0.2,0.921465969,0.693877551,6600,5
tor,mfid,200,-1,-1,-1,15,100,500,500,0.2,0.944162437,0.744186047,500,5
tor,fixed,-1,-1,-1,-1,15,100,500,500,0.2,0.954773869,0.780487805,1500,5
tor,cas,-1,2,20,20,15,100,500,500,0.3,0.948453608,0.848484848,1400,1
tor,fcn,-1,2,100,100,15,100,500,500,0.3,0.955223881,0.847457627,700,1
tor,mis,-1,2,100,100,15,100,500,500,0.3,0.95,0.833333333,1000,1
tor,mfid,200,-1,-1,-1,15,100,500,500,0.3,0.948979592,0.84375,1500,1
tor,fixed,-1,-1,-1,-1,15,100,500,500,0.3,0.787878788,0.631578947,1500,1
tor,cas,-1,2,20,20,15,100,500,500,0.3,0.898395722,0.739726027,1900,2
tor,fcn,-1,2,100,100,15,100,500,500,0.3,0.892473118,0.72972973,1900,2
tor,mis,-1,2,100,100,15,100,500,500,0.3,0.898395722,0.739726027,1800,2
tor,mfid,200,-1,-1,-1,15,100,500,500,0.3,0.904255319,0.75,400,2
tor,fixed,-1,-1,-1,-1,15,100,500,500,0.3,0.899470899,0.732394366,1500,2
tor,cas,-1,2,20,20,15,100,500,500,0.3,0.927083333,0.794117647,400,3
tor,fcn,-1,2,100,100,15,100,500,500,0.3,0.932642487,0.805970149,2000,3
tor,mis,-1,2,100,100,15,100,500,500,0.3,0.919786096,0.794520548,1400,3
tor,mfid,200,-1,-1,-1,15,100,500,500,0.3,0.911917098,0.746268657,1400,3
tor,fixed,-1,-1,-1,-1,15,100,500,500,0.3,0.943589744,0.830769231,1500,3
tor,cas,-1,2,20,20,15,100,500,500,0.3,0.943589744,0.830769231,400,4
tor,fcn,-1,2,100,100,15,100,500,500,0.3,0.965853659,0.872727273,1900,4
tor,mis,-1,2,100,100,15,100,500,500,0.3,0.96039604,0.862068966,1400,4
tor,mfid,200,-1,-1,-1,15,100,500,500,0.3,0.95959596,0.870967742,900,4
