dataset_name,oracle_param_oracle_name,oracle_param_number_of_epochs_for_training_feature_extractor,oracle_param_number_of_hidden_layers_for_classifier,oracle_param_number_of_neurons_in_layer_for_classifier,oracle_param_number_of_epochs_for_training_classifier,wtst_param_number_of_accepted_failed_attempts,wtst_param_epoch_unit,gan_param_number_of_generated_samples_perclass,maj_class_count,min_maj_rate,maj_f1,min_f1,stopping_epoch,fold
tor_rf,mfid,200,-1,-1,-1,15,100,500,200,0.4,0.935064935,0.857142857,1200,5
tor_rf,fixed,-1,-1,-1,-1,15,100,500,200,0.4,0.935064935,0.857142857,1500,5
tor_rf,cas,-1,2,20,20,15,100,500,500,0.1,0.99,0.9,2100,1
tor_rf,fcn,-1,2,100,100,15,100,500,500,0.1,0.99,0.9,4100,1
tor_rf,mis,-1,2,100,100,15,100,500,500,0.1,0.98,0.8,300,1
tor_rf,mfid,200,-1,-1,-1,15,100,500,500,0.1,0.984924623,0.857142857,700,1
tor_rf,fixed,-1,-1,-1,-1,15,100,500,500,0.1,0.99,0.9,1500,1
tor_rf,cas,-1,2,20,20,15,100,500,500,0.1,0.975369458,0.705882353,700,2
tor_rf,fcn,-1,2,100,100,15,100,500,500,0.1,0.975369458,0.705882353,4200,2
tor_rf,mis,-1,2,100,100,15,100,500,500,0.1,0.975369458,0.705882353,1400,2
tor_rf,mfid,200,-1,-1,-1,15,100,500,500,0.1,0.975369458,0.705882353,1500,2
tor_rf,fixed,-1,-1,-1,-1,15,100,500,500,0.1,0.97029703,0.666666667,1500,2
tor_rf,cas,-1,2,20,20,15,100,500,500,0.1,0.985221675,0.823529412,200,3
tor_rf,fcn,-1,2,100,100,15,100,500,500,0.1,0.985221675,0.823529412,4900,3
tor_rf,mis,-1,2,100,100,15,100,500,500,0.1,0.985221675,0.823529412,1400,3
tor_rf,mfid,200,-1,-1,-1,15,100,500,500,0.1,0.985221675,0.823529412,300,3
tor_rf,fixed,-1,-1,-1,-1,15,100,500,500,0.1,0.98019802,0.777777778,1500,3
tor_rf,cas,-1,2,20,20,15,100,500,500,0.1,0.99009901,0.888888889,700,4
tor_rf,fcn,-1,2,100,100,15,100,500,500,0.1,0.99009901,0.888888889,1500,4
tor_rf,mis,-1,2,100,100,15,100,500,500,0.1,0.99009901,0.888888889,2300,4
tor_rf,mfid,200,-1,-1,-1,15,100,500,500,0.1,0.99009901,0.888888889,1400,4
tor_rf,fixed,-1,-1,-1,-1,15,100,500,500,0.1,0.99009901,0.888888889,1500,4
tor_rf,cas,-1,2,20,20,15,100,500,500,0.1,0.99,0.9,800,5
tor_rf,fcn,-1,2,100,100,15,100,500,500,0.1,0.99,0.9,1100,5
tor_rf,mis,-1,2,100,100,15,100,500,500,0.1,0.99,0.9,1500,5
tor_rf,mfid,200,-1,-1,-1,15,100,500,500,0.1,0.995024876,0.947368421,500,5
tor_rf,fixed,-1,-1,-1,-1,15,100,500,500,0.1,0.984924623,0.857142857,1500,5
tor_rf,cas,-1,2,20,20,15,100,500,500,0.2,0.98019802,0.894736842,1000,1
tor_rf,fcn,-1,2,100,100,15,100,500,500,0.2,0.985074627,0.923076923,500,1
tor_rf,mis,-1,2,100,100,15,100,500,500,0.2,0.975369458,0.864864865,1300,1
tor_rf,mfid,200,-1,-1,-1,15,100,500,500,0.2,0.975369458,0.864864865,1100,1
tor_rf,fixed,-1,-1,-1,-1,15,100,500,500,0.2,0.985074627,0.923076923,1500,1
tor_rf,cas,-1,2,20,20,15,100,500,500,0.2,0.985221675,0.918918919,900,2
tor_rf,fcn,-1,2,100,100,15,100,500,500,0.2,0.985221675,0.918918919,1500,2
tor_rf,mis,-1,2,100,100,15,100,500,500,0.2,0.985221675,0.918918919,1200,2
tor_rf,mfid,200,-1,-1,-1,15,100,500,500,0.2,0.985221675,0.918918919,100,2
tor_rf,fixed,-1,-1,-1,-1,15,100,500,500,0.2,0.985221675,0.918918919,1500,2
tor_rf,cas,-1,2,20,20,15,100,500,500,0.2,0.96969697,0.857142857,1700,3
tor_rf,fcn,-1,2,100,100,15,100,500,500,0.2,0.959183673,0.818181818,1400,3
tor_rf,mis,-1,2,100,100,15,100,500,500,0.2,0.948453608,0.782608696,2200,3
tor_rf,mfid,200,-1,-1,-1,15,100,500,500,0.2,0.959183673,0.818181818,500,3
tor_rf,fixed,-1,-1,-1,-1,15,100,500,500,0.2,0.959183673,0.818181818,1500,3
tor_rf,cas,-1,2,20,20,15,100,500,500,0.2,0.975369458,0.864864865,600,4
tor_rf,fcn,-1,2,100,100,15,100,500,500,0.2,0.975369458,0.864864865,1600,4
tor_rf,mis,-1,2,100,100,15,100,500,500,0.2,0.975369458,0.864864865,2800,4
tor_rf,mfid,200,-1,-1,-1,15,100,500,500,0.2,0.975369458,0.864864865,1900,4
tor_rf,fixed,-1,-1,-1,-1,15,100,500,500,0.2,0.975369458,0.864864865,1500,4
tor_rf,cas,-1,2,20,20,15,100,500,500,0.2,0.975609756,0.857142857,400,5
tor_rf,fcn,-1,2,100,100,15,100,500,500,0.2,0.975609756,0.857142857,2900,5
tor_rf,mis,-1,2,100,100,15,100,500,500,0.2,0.975609756,0.857142857,1500,5
tor_rf,mfid,200,-1,-1,-1,15,100,500,500,0.2,0.975609756,0.857142857,900,5
tor_rf,fixed,-1,-1,-1,-1,15,100,500,500,0.2,0.975609756,0.857142857,1500,5
